Song Name,Vibe,Energy,Danceability,Happiness,Loudness
BTS - Butter,Party,46,76,70,-5 dB
BLACKPINK - How You Like That,Party,76,81,34,-5 dB
Twice - The Feels,Party,90,81,92,-2 dB
Stray Kids - God's Menu,Party,31,41,29,-21 dB
Bigbang - Bang Bang Bang,Party,79,71,75,-3 dB
2NE1 - I Am The Best,Party,0,0,0,0
"Super Junior - Sorry, Sorry",Party,97,71,96,-2 dB
Wonder Girls - Nobody,Party,79,88,95,-7 dB
Rain - Rainism,Party,84,74,67,-8 dB
Daler Mehndi - Tunak Tunak Tun,Party,98,79,69,-6 dB
Alka Yagnik - Bole Chudiyan,Party,88,59,74,-5 dB
Udit Narayan - Koi Mil Gaya,Party,69,70,82,-9 dB
Sonu Nigam - You Are My Sonia,Party,78,85,79,-6 dB
Shaan - Dus Bahane,Party,91,81,46,-5 dB
KK - It's The Time To Disco,Party,77,90,81,-8 dB
Shankar Mahadevan - Kajra Re,Party,90,48,68,-4 dB
Himesh Reshammiya - Aashiqui Mein Teri,Party,64,81,62,-9 dB
Pritam - Garmi,Party,98,67,80,-1 dB
Meet Bros - Baby Doll,Party,84,84,51,-3 dB
Kanika Kapoor - Chittiyaan Kalaiyaan,Party,89,79,60,-5 dB
Badshah - Abhi Toh Party Shuru Hui Hai,Party,,,,
Yo Yo Honey Singh - Blue Eyes,Party,51,77,53,-5 dB
Jass Manak - Prada,Party,65,72,46,-5 dB
Harrdy Sandhu - Bijlee Bijlee,Party,67,80,64,-5 dB
King - Maan Meri Jaan,Party,51,70,40,-8 dB
Divine - Mirchi,Party,61,87,82,-5 dB
G.V. Prakash Kumar - Appadi Podu,Party,42,81,47,-13 dB
Harris Jayaraj - Randaka,Party,92,82,74,-8 dB
Devi Sri Prasad - Ringa Ringa,Party,88,63,86,-3 dB
Thaman S - Butta Bomma,Party,64,67,89,-9 dB
Devi Sri Prasad - Seeti Maar,Party,,,,
A.R. Rahman - Urvasi Urvasi,Party,,,,
Vijay Yesudas - Malare,Party,50,47,54,-11 dB
Vineeth Sreenivasan - Jimikki Kammal,Party,49,57,88,-8 dB
Kishore Kumar - Om Shanti Om,Party,77,49,62,-9 dB
R.D. Burman - Mehbooba Mehbooba,Party,,,,
Bee Gees - Stayin' Alive,Party,79,81,80,-9 dB
Kool & The Gang - Celebration,Party,66,89,91,-12 dB
Michael Jackson - Billie Jean,Party,64,69,45,-9 dB
Whitney Houston - I Wanna Dance With Somebody,Party,0,0,0,0
Cyndi Lauper - Girls Just Want To Have Fun,Party,80,71,73,-5 dB
Madonna - Like A Prayer,Party,84,63,26,-5 dB
Britney Spears - Toxic,Party,47,75,45,-9 dB
Backstreet Boys - Everybody,Party,81,79,51,-5 dB
NSYNC - Bye Bye Bye,Party,87,57,81,-4 dB
Spice Girls - Wannabe,Party,86,77,89,-6 dB
Destiny's Child - Survivor,Party,91,51,62,-2 dB
Outkast - Hey Ya!,Party,97,73,97,-2 dB
Arctic Monkeys - I Bet You Look Good On The Dancefloor,Party,0,0,0,0
MGMT - Kids,Party,93,45,17,-4 dB
Empire of the Sun - Walking On A Dream,Party,70,87,72,-6 dB
Foster The People - Pumped Up Kicks,Party,71,73,97,-6 dB
Phoenix - 1901,Party,83,60,67,-5 dB
Passion Pit - Sleepyhead,Party,72,57,54,-5 dB
Macklemore - Thrift Shop,Party,53,78,67,-7 dB
Iggy Azalea - Fancy,Party,72,91,38,-4 dB
Sia - Chandelier,Party,23,41,31,-8 dB
Kygo - Firestone,Party,63,70,41,-7 dB
Avicii - Levels,Party,91,62,35,-3 dB
Calvin Harris - Feel So Close,Party,92,71,92,-3 dB
Alan Walker - The Spectre,Party,71,65,20,-7 dB
The Chainsmokers - Roses,Party,80,71,34,-7 dB
Zedd - Clarity,Party,78,51,18,-3 dB
Galantis - Runaway (U & I),Party,81,51,38,-4 dB
Disclosure - Latch,Party,74,73,54,-5 dB
Rudimental - These Days,Party,81,65,55,-4 dB
Jonas Blue - Fast Car,Party,57,64,53,-7 dB
Sigala - Sweet Lovin',Party,85,68,71,-3 dB
Duke Dumont - Ocean Drive,Party,72,69,56,-5 dB
Kungs - This Girl,Party,72,79,47,-5 dB
Jax Jones - You Don't Know Me,Party,66,88,69,-6 dB
Joel Corry - Head & Heart,Party,87,73,91,-3 dB
Regard - Ride It,Party,75,88,88,-4 dB
Topic - Breaking Me,Party,72,79,66,-6 dB
SAINt JHN - Roses (Imanbek Remix),Party,72,79,89,-5 dB
Tiësto - The Business,Party,,,,
Meduza - Piece Of Your Heart,Party,74,68,63,-7 dB
Stromae - Alors On Danse,Party,59,79,72,-9 dB
Michel Teló - Ai Se Eu Te Pego,Party,92,65,74,-7 dB
Gusttavo Lima - Balada,Party,96,68,81,-4 dB
Enrique Iglesias - Bailando,Party,78,73,96,-4 dB
Marc Anthony - Vivir Mi Vida,Party,88,66,89,-3 dB
Gipsy Kings - Bamboleo,Party,88,67,93,-9 dB
Los Del Rio - Macarena,Party,93,72,96,-6 dB
Las Ketchup - The Ketchup Song,Party,95,60,88,-6 dB
Kaoma - Lambada,Party,80,76,97,-5 dB
Lou Bega - Mambo No. 5,Party,81,62,89,-7 dB
Vengaboys - We Like To Party,Party,93,79,97,-5 dB
Aqua - Barbie Girl,Party,88,81,96,-11 dB
Eiffel 65 - Blue (Da Ba Dee),Party,97,83,73,-11 dB
O-Zone - Dragostea Din Tei,Party,97,80,68,-4 dB
Eminem - Till I Collapse,Workout,85,55,10,-3 dB
Survivor - Eye of the Tiger,Workout,60,82,55,-9 dB
Kanye West - Stronger,Workout,72,62,50,-8 dB
Imagine Dragons - Believer,Workout,78,78,67,-4 dB
Travis Scott - Goosebumps,Workout,59,84,81,-8 dB
Eminem - Lose Yourself,Workout,74,69,6,-5 dB
Fort Minor - Remember the Name,Workout,84,69,88,-4 dB
Linkin Park - Numb,Workout,80,69,80,-4 dB
Jay-Z - Niggas in Paris,Workout,35,75,32,-18 dB
Kendrick Lamar - Humble,Workout,45,76,97,-11 dB
Drake - God's Plan,Workout,45,75,36,-9 dB
OutKast - B.O.B.,Workout,98,75,65,-5 dB
The White Stripes - Seven Nation Army,Workout,45,74,28,-8 dB
AC/DC - Thunderstruck,Workout,89,50,26,-5 dB
Guns N' Roses - Welcome to the Jungle,Workout,99,45,32,-4 dB
Queen - We Will Rock You,Workout,50,69,47,-7 dB
DMX - X Gon' Give It To Ya,Workout,90,76,67,-3 dB
50 Cent - In Da Club,Workout,72,90,81,-3 dB
Usher - DJ Got Us Fallin' In Love,Workout,86,66,65,-3 dB
Pitbull - Hotel Room Service,Workout,63,85,79,-8 dB
Skrillex - Bangarang,Workout,97,72,58,-2 dB
DJ Snake - Turn Down for What,Workout,80,82,8,-4 dB
The Prodigy - Smack My Bitch Up,Workout,100,60,26,-4 dB
Darude - Sandstorm,Workout,97,53,59,-8 dB
Swedish House Mafia - Greyhound,Workout,81,72,54,-5 dB
Martin Garrix - Animals,Workout,87,68,4,-6 dB
Fisher - Losing It,Workout,96,76,64,-6 dB
Tiesto - The Business,Workout,62,80,24,-7 dB
David Guetta - Sexy Bitch,Workout,63,81,80,-5 dB
Calvin Harris - This Is What You Came For,Workout,93,63,47,-3 dB
Imagine Dragons - Radioactive,Workout,78,45,24,-4 dB
Fall Out Boy - Centuries,Workout,86,39,56,-3 dB
Panic! At The Disco - High Hopes,Workout,90,58,68,-3 dB
Twenty One Pilots - Stressed Out,Workout,64,73,65,-6 dB
Machine Gun Kelly - my ex's best friend,Workout,68,73,30,-5 dB
Post Malone - Rockstar,Workout,46,54,4,-11 dB
Roddy Ricch - The Box,Workout,59,90,64,-7 dB
DaBaby - Rockstar,Workout,50,83,93,-11 dB
Megan Thee Stallion - Savage,Workout,74,82,64,-5 dB
Cardi B - Bodak Yellow,Workout,70,93,49,-6 dB
Azaelia Banks - 212,Workout,77,85,62,-6 dB
Kanye West - Power,Workout,97,44,14,-1 dB
J. Cole - Middle Child,Workout,48,80,14,-11 dB
Travis Scott - Sicko Mode,Workout,94,74,89,-6 dB
Future - Mask Off,Workout,43,83,28,-9 dB
Migos - Walk It Talk It,Workout,63,91,40,-5 dB
Lil Nas X - Industry Baby,Workout,2,58,16,-28 dB
Jack Harlow - First Class,Workout,58,90,33,-6 dB
Lizzo - About Damn Time,Workout,74,84,72,-6 dB
Dua Lipa - Physical,Workout,84,65,75,-4 dB
Anirudh Ravichander - Neruppu Da,Workout,84,58,48,-4 dB
Arunraja Kamaraj - Kabali Theme,Workout,59,64,22,-13 dB
Santhosh Narayanan - Neruppu Da,Workout,84,58,48,-4 dB
Anirudh Ravichander - Hukum,Workout,89,72,53,-6 dB
Yuvan Shankar Raja - Billa Theme,Workout,41,52,12,-10 dB
Thaman S - Akhanda Title Track,Workout,95,27,54,-5 dB
M. M. Keeravani - Dosti,Workout,65,68,56,-9 dB
Devi Sri Prasad - Singam Title Track,Workout,69,69,88,-4 dB
Sukhwinder Singh - Chak De India,Workout,89,76,80,-9 dB
Shankar Mahadevan - Lakshya,Workout,74,64,73,-7 dB
Sultan - Sultan Title Track,Workout,91,68,19,-4 dB
Vishal Dadlani - Zinda (Bhaag Milkha Bhaag),Workout,70,61,60,-7 dB
Divine - Apna Time Aayega,Workout,62,77,51,-9 dB
Brodha V - Aigiri Nandini,Workout,84,77,76,-3 dB
Raftaar - Swag Mera Desi,Workout,72,83,70,-8 dB
KR$NA - Roll Up,Workout,60,76,40,-9 dB
Seedhe Maut - Namastute,Workout,84,78,75,-6 dB
Bloodywood - Ari Ari,Workout,95,46,44,-8 dB
The Local Train - Aakhri Salaam,Workout,65,47,50,-9 dB
Avial - Nada Nada,Workout,99,75,75,-2 dB
Thaikkudam Bridge - Navarasam,Workout,78,36,11,-7 dB
Job Kurian - Enthavo,Workout,51,66,50,-7 dB
Linkin Park - Faint,Workout,98,55,61,-4 dB
Linkin Park - One Step Closer,Workout,97,49,54,-4 dB
Disturbed - Down With The Sickness,Workout,88,70,94,-4 dB
System of A Down - Chop Suey!,Workout,93,42,29,-4 dB
Rage Against The Machine - Killing In The Name,Workout,83,47,66,-4 dB
Slipknot - Psychosocial,Workout,98,57,31,-4 dB
Pantera - Walk,Workout,70,43,70,-8 dB
Metallica - Enter Sandman,Workout,83,57,62,-8 dB
Slayer - Raining Blood,Workout,100,23,4,-4 dB
Megadeth - Symphony of Destruction,Workout,89,61,51,-5 dB
Iron Maiden - The Trooper,Workout,91,29,66,-5 dB
Motorhead - Ace of Spades,Workout,99,32,20,-4 dB
Judas Priest - Breaking the Law,Workout,96,36,49,-6 dB
Black Sabbath - Paranoid,Workout,63,43,38,-12 dB
AC/DC - Back In Black,Workout,70,31,76,-6 dB
Guns N' Roses - Paradise City,Workout,98,27,39,-6 dB
Nirvana - Smells Like Teen Spirit,Workout,91,50,72,-5 dB
Foo Fighters - The Pretender,Workout,96,43,37,-4 dB
Red Hot Chili Peppers - Can't Stop,Workout,94,62,88,-3 dB
The White Stripes - Seven Nation Army,Workout,45,74,28,-8 dB
Queens of the Stone Age - No One Knows,Workout,59,51,64,-5 dB
Wolfmother - Woman,Workout,95,22,17,-4 dB
Royal Blood - Figure It Out,Workout,81,66,69,-5 dB
Imagine Dragons - Natural,Workout,61,70,22,-6 dB
Fall Out Boy - My Songs Know What You Did In The Dark,Workout,92,56,57,-4 dB
The Score - Legend,Workout,76,60,46,-3 dB
Zayde Wolf - Gladiator,Workout,78,54,51,-6 dB
Neffex - Fight Back,Workout,95,72,59,-3 dB
2WEI - Survivor,Workout,54,35,10,-10 dB
Rob Bailey - Beast,Workout,79,60,58,-7 dB
Roy Jones Jr - Can't Be Touched,Workout,78,64,41,-5 dB
DMX - Party Up,Workout,93,51,53,-3 dB
50 Cent - Candy Shop,Workout,57,61,76,-8 dB
Eminem - Not Afraid,Workout,95,86,67,-1 dB
Eminem - Rap God,Workout,84,71,63,-3 dB
Dr. Dre - Still D.R.E.,Workout,78,82,53,-3 dB
Snoop Dogg - Drop It Like It's Hot,Workout,63,89,66,-4 dB
Ice Cube - It Was A Good Day,Workout,74,80,79,-5 dB
2Pac - California Love,Workout,85,76,76,-3 dB
Notorious B.I.G. - Hypnotize,Workout,69,90,63,-4 dB
Wu-Tang Clan - C.R.E.A.M.,Workout,51,51,56,-12 dB
"Mobb Deep - Shook Ones, Pt. II",Workout,79,76,50,-6 dB
Nas - N.Y. State of Mind,Workout,91,67,89,-5 dB
Jay-Z - 99 Problems,Workout,89,49,55,-4 dB
Kanye West - Black Skinhead,Workout,81,77,33,-6 dB
Kendrick Lamar - DNA.,Workout,52,64,42,-7 dB
J. Cole - No Role Modelz,Workout,52,69,49,-8 dB
Drake - Nonstop,Workout,41,91,42,-8 dB
Travis Scott - Antidote,Workout,53,71,12,-5 dB
Future - Mask Off,Workout,43,83,28,-9 dB
Migos - Stir Fry,Workout,82,82,51,-5 dB
ASAP Rocky - Praise The Lord,Workout,57,85,29,-8 dB
Meek Mill - Dreams and Nightmares,Workout,77,63,44,-2 dB
Rick Ross - B.M.F.,Workout,86,72,36,-4 dB
Ace Hood - Bugatti,Workout,59,60,7,-5 dB
DJ Khaled - All I Do Is Win,Workout,78,54,28,-4 dB
Desiigner - Panda,Workout,73,69,27,-6 dB
Sheck Wes - Mo Bamba,Workout,63,73,26,-5 dB
Pop Smoke - Dior,Workout,81,55,65,-6 dB
Ski Mask The Slump God - Catch Me Outside,Workout,68,94,62,-6 dB
6ix9ine - Gummo,Workout,,,,
Lil Pump - Boss,Workout,79,80,65,-3 dB
Playboi Carti - Magnolia,Workout,58,79,44,-7 dB
The Weeknd - Starboy,Workout,59,68,49,-7 dB
"Daft Punk - Harder, Better, Faster, Stronger",Workout,72,82,69,-9 dB
Chemical Brothers - Galvanize,Workout,76,60,56,-6 dB
The Prodigy - Firestarter,Workout,,,,0
Knife Party - Bonfire,Workout,94,54,59,-3 dB
Skrillex - Scary Monsters and Nice Sprites,Workout,94,52,32,-4 dB
Zomboy - Like A Bitch,Workout,,,,
Excision - Throwin' Elbows,Workout,94,57,36,-3 dB
Justin Timberlake - Can't Stop the Feeling!,Party,27,76,37,-17 dB
Bruno Mars - 24K Magic,Party,80,82,63,-4 dB
Lady Gaga - Just Dance,Party,74,82,75,-5 dB
Flo Rida - Low,Party,61,92,30,-6 dB
LMFAO - Party Rock Anthem,Party,73,75,36,-4 dB
Avicii - Wake Me Up,Party,78,53,64,-6 dB
Miley Cyrus - Party in the U.S.A.,Party,70,65,47,-5 dB
Taio Cruz - Dynamite,Party,80,75,82,-3 dB
Nicki Minaj - Starships,Party,72,75,75,-2 dB
Jennifer Lopez - On The Floor,Party,78,73,59,-5 dB
David Guetta - Titanium,Party,91,45,3,-7 dB
Carly Rae Jepsen - Call Me Maybe,Party,58,78,66,-7 dB
Walk the Moon - Shut Up and Dance,Party,87,58,62,-4 dB
DNCE - Cake By The Ocean,Party,75,77,90,-5 dB
Maroon 5 - Sugar,Party,79,75,88,-7 dB
BTS - Dynamite,Party,77,75,74,-4 dB
Lizzo - Juice,Party,89,77,84,-3 dB
Doja Cat - Say So,Party,67,79,78,-5 dB
Shawn Mendes - There's Nothing Holdin' Me Back,Party,81,87,97,-4 dB
Ed Sheeran - Shivers,Party,86,79,82,-3 dB
The Kid LAROI - Stay,Party,69,51,19,-9 dB
Jason Derulo - Want to Want Me,Party,68,78,66,-6 dB
Sia - Cheap Thrills,Party,70,63,73,-6 dB
Major Lazer - Lean On,Party,81,72,27,-3 dB
The Chainsmokers - Closer,Party,52,75,66,-6 dB
Drake - One Dance,Party,63,79,37,-6 dB
Shakira - Hips Don't Lie,Party,82,78,76,-6 dB
Daddy Yankee - Gasolina,Party,80,85,74,-7 dB
Anirudh Ravichander - Arabic Kuthu,Party,76,61,63,-7 dB
M. M. Keeravani - Naatu Naatu,Party,99,41,70,-4 dB
Thaman S - Ranjithame,Party,98,55,66,-6 dB
Anirudh Ravichander - Vaathi Coming,Party,95,64,59,-4 dB
Mika Singh - Subha Hone Na De,Party,90,73,51,-5 dB
Sukhbir - Ishq Tera Tadpave,Party,90,72,82,-8 dB
J Balvin - Mi Gente,Party,72,76,47,-6 dB
Daddy Yankee - Dura,Party,80,77,85,-3 dB
Bad Bunny - Tití Me Preguntó,Party,72,65,19,-5 dB
Rauw Alejandro - Todo De Ti,Party,72,78,34,-4 dB
Farruko - Pepas,Party,77,76,44,-4 dB
Karol G - Tusa,Party,72,80,57,-3 dB
Shakira - Waka Waka,Party,87,71,83,-5 dB
Daft Punk - Get Lucky,Party,79,81,86,-9 dB
Pharrell Williams - Happy,Party,82,65,96,-5 dB
Sunidhi Chauhan - Dhoom Machale,Party,92,78,49,-5 dB
A.R. Rahman - Jai Ho,Party,94,66,88,-4 dB
Tanishk Bagchi - Aankh Marey,Party,98,80,80,-1 dB
Yuvan Shankar Raja - Mankatha Theme,Party,38,68,20,-7 dB
Benny Dayal - Omana Penne,Party,73,69,66,-8 dB
Gopi Sundar - Guleba,Party,82,45,60,-7 dB
Shaan - Chand Sifarish,Party,67,83,86,-8 dB
Bappi Lahiri - Jimmy Jimmy Aaja Aaja,Party,55,86,72,-10 dB
Nazia Hassan - Disco Deewane,Party,47,73,96,-10 dB
Abba - Dancing Queen,Party,87,54,75,-7 dB
"Earth, Wind & Fire - September",Party,83,70,98,-7 dB
The Killers - Mr. Brightside,Party,91,35,24,-5 dB
Franz Ferdinand - Take Me Out,Party,66,28,53,-9 dB
Major Lazer - Light It Up,Party,88,75,75,-4 dB
DJ Snake - Taki Taki,Party,80,84,62,-4 dB
David Guetta - Play Hard,Party,92,69,80,-2 dB
Martin Garrix - Tremor,Party,94,63,40,-4 dB
Marshmello - Alone,Party,95,63,42,-4 dB
Clean Bandit - Symphony,Party,63,71,46,-5 dB
XXXTENTACION - Look At Me!,Workout,73,76,35,-6 dB
Lil Uzi Vert - XO Tour Llif3,Workout,75,73,40,-6 dB
Juice WRLD - Lucid Dreams,Workout,57,51,22,-7 dB
Post Malone - Congratulations,Workout,80,63,49,-4 dB
Pendulum - Propane Nightmares,Workout,97,36,22,-4 dB
Marshmello - Keep It Mello,Workout,89,68,11,-3 dB
Alan Walker - Faded,Workout,65,59,17,-5 dB
The Glitch Mob - Seven Nation Army Remix,Workout,84,70,20,-7 dB
League of Legends - Legends Never Die,Workout,60,50,6,-7 dB
Imagine Dragons - Warriors,Workout,85,37,31,-6 dB
K/DA - POP/STARS,Workout,77,56,39,-4 dB
Stray Kids - Miroh,Workout,61,85,91,-9 dB
ATEEZ - Wonderland,Workout,85,55,33,-7 dB
NCT 127 - Kick It,Workout,84,68,50,-3 dB
Monsta X - Hero,Workout,59,79,32,-14 dB
EXO - Monster,Workout,76,62,54,-4 dB
BTS - Mic Drop,Workout,9,72,42,-26 dB
Agust D - Daechwita,Workout,83,65,22,-4 dB
J-Hope - Chicken Noodle Soup,Workout,82,83,17,-4 dB
Lisa - Money,Workout,7,56,33,-22 dB
Jessi - Nunu Nana,Workout,57,66,14,-9 dB
Zico - Any Song,Workout,79,87,90,-2 dB
Epik High - Born Hater,Workout,78,80,87,-6 dB
Keith Ape - It G Ma,Workout,37,96,15,-11 dB
Rich Brian - Dat $tick,Workout,51,92,17,-9 dB
Higher Brothers - Made In China,Workout,53,84,19,-5 dB
Teriyaki Boyz - Tokyo Drift,Workout,90,76,94,-5 dB
Hans Zimmer - Mombasa,Workout,83,51,34,-13 dB
Junkie XL - Brothers In Arms,Workout,44,22,13,-9 dB
Two Steps From Hell - Heart of Courage,Workout,59,39,18,-9 dB
Hans Zimmer - Supermarine,Workout,87,55,15,-13 dB
Ludwig Goransson - Tenet,Workout,72,75,21,-6 dB
Brian Tyler - Fast Five Theme,Workout,78,25,18,-10 dB
Steve Jablonsky - Arrival To Earth,Workout,38,10,7,-16 dB
Tom Holkenborg - Mad Max Fury Road,Workout,89,25,29,-6 dB
Ludovico Einaudi - Nuvole Bianche,Study,6,19,5,-25 dB
Yiruma - River Flows in You,Study,22,32,12,-21 dB
Erik Satie - Gymnopédie No.1,Study,1,47,36,-37 dB
Beethoven - Moonlight Sonata,Study,2,31,14,-36 dB
Mozart - Piano Concerto No. 21,Study,2,16,6,-30 dB
Chopin - Nocturne Op. 9 No. 2,Study,1,45,8,-31 dB
Bach - Cello Suite No. 1,Study,14,37,81,-21 dB
Max Richter - On the Nature of Daylight,Study,34,7,3,-13 dB
Brian Eno - An Ending (Ascent),Study,9,26,5,-25 dB
Aphex Twin - Avril 14th,Study,3,56,37,-30 dB
Tycho - Awake,Study,88,55,60,-6 dB
Bonobo - Cirrus,Study,84,64,36,-8 dB
Four Tet - Lush,Study,67,66,64,-10 dB
Explosions in the Sky - Your Hand in Mine,Study,50,27,12,-15 dB
Sigur Ros - Hoppipolla,Study,25,18,3,-19 dB
The xx - Intro,Study,78,62,15,-9 dB
M83 - Midnight City (Ambient Mix),Study,71,53,32,-7 dB
Radiohead - Treefingers,Study,15,17,6,-21 dB
Boards of Canada - Dayvan Cowboy,Study,62,32,4,-11 dB
Nils Frahm - Says,Study,23,22,7,-13 dB
Olafur Arnalds - Near Light,Study,35,48,9,-15 dB
Joep Beving - Sleeping Lotus,Study,3,31,19,-27 dB
Hania Rani - Eden,Study,18,44,4,-25 dB
Alexis Ffrench - Bluebird,Study,11,45,8,-21 dB
Yann Tiersen - Comptine d'un autre été,Study,19,48,5,-15 dB
Ryuichi Sakamoto - Merry Christmas Mr. Lawrence,Study,18,49,28,-18 dB
The Weeknd - Blinding Lights,Party,73,51,33,-6 dB
Calvin Harris - Summer,Party,86,60,74,-4 dB
One Direction - What Makes You Beautiful,Party,79,73,89,-2 dB
Harry Styles - Watermelon Sugar,Party,82,55,56,-4 dB
Nakash Aziz - Saami Saami,Party,79,77,81,-6 dB
Benny Dayal - Badtameez Dil,Party,93,81,79,-2 dB
Mano - Mukkala Muqabla,Party,83,75,75,-7 dB
Ramin Djawadi - Pacific Rim,Workout,69,57,53,-9 dB
Hans Zimmer - Time,Study,10,29,4,-17 dB
Hans Zimmer - Interstellar Main Theme,Study,2,31,7,-28 dB
Debussy - Clair de Lune,Study,3,31,4,-24 dB
Johann Pachelbel - Canon in D,Study,26,40,34,-12 dB
Post Malone - Circles,Party,76,70,55,-3 dB
Harris Jayaraj - Danka Maari,Workout,85,34,52,-5 dB
Ludovico Einaudi - Experience,Study,45,45,4,-11 dB
Mozart - Turkish March,Study,9,57,96,-23 dB
Vivaldi - Four Seasons Spring,Study,14,32,30,-16 dB
John Williams - Hedwig's Theme,Study,16,16,8,-17 dB
Ramin Djawadi - Light of the Seven,Study,10,27,6,-17 dB
The Weeknd - Call Out My Name,Study,59,46,17,-5 dB
Post Malone - Stay,Study,48,51,35,-5 dB
Frank Ocean - Pink + White,Study,55,55,55,-7 dB
Joji - Slow Dancing in the Dark,Study,8,31,8,-25 dB
Lofi Girl - Study Relax,Study,16,82,67,-13 dB
ChilledCow - Lofi Hip Hop,Study,84,75,79,-9 dB
Nujabes - Aruarian Dance,Study,31,61,48,-19 dB
Powfu - Death Bed,Study,75,54,70,-10 dB
Kina - Get You The Moon,Study,24,50,9,-17 dB
XXXTENTACION - Jocelyn Flores,Study,39,87,44,-9 dB
Harry Styles - Falling,Study,27,57,6,-7 dB
Sam Smith - Stay With Me,Study,42,41,19,-6 dB
Adele - Easy On Me,Study,37,60,13,-8 dB
Ed Sheeran - Supermarket Flowers,Study,24,59,26,-11 dB
Lewis Capaldi - Before You Go,Study,57,46,18,-5 dB
Coldplay - The Scientist,Study,44,56,21,-7 dB
Radiohead - No Surprises,Study,10,62,16,-20 dB
Pink Floyd - Wish You Were Here,Study,57,57,29,-8 dB
The Beatles - Yesterday,Study,1,53,16,-26 dB
Elton John - Rocket Man,Study,10,88,71,-17 dB
Simon & Garfunkel - The Sound of Silence,Study,82,91,49,-5 dB
Tracy Chapman - Fast Car,Study,29,71,19,-16 dB
Fleetwood Mac - Landslide,Study,16,41,42,-22 dB
Eagles - Hotel California (Acoustic),Study,49,55,61,-11 dB
Eric Clapton - Tears In Heaven,Study,24,50,31,-12 dB
Plain White T's - Hey There Delilah,Study,29,66,30,-11 dB
Train - Marry Me,Study,27,46,48,-9 dB
Jason Mraz - I'm Yours,Study,44,70,71,-9 dB
Jack Johnson - Better Together,Study,35,87,66,-10 dB
Vance Joy - Riptide,Study,73,48,51,-7 dB
Joe Hisaishi - Merry-Go-Round of Life,Study,29,24,19,-13 dB
Nobuo Uematsu - To Zanarkand,Study,4,43,9,-20 dB
Koji Kondo - Zelda's Lullaby,Study,12,25,27,-16 dB
C418 - Sweden,Study,1,64,20,-25 dB
C418 - Subwoofer Lullaby,Study,1,33,4,-24 dB
Toby Fox - Undertale,Study,41,55,37,-15 dB
Christopher Larkin - Hollow Knight,Study,3,22,14,-27 dB
Lena Raine - Pigstep,Study,92,62,53,-3 dB
Howard Shore - The Shire,Study,1,45,16,-24 dB
John Williams - Jurassic Park Theme,Study,13,14,6,-19 dB
Klaus Badelt - He's A Pirate,Study,69,47,13,-11 dB
Alan Silvestri - Forrest Gump Suite,Study,12,11,4,-16 dB
Thomas Newman - American Beauty,Study,1,21,5,-32 dB
Justin Hurwitz - City of Stars,Study,12,49,43,-15 dB
Ennio Morricone - The Ecstasy of Gold,Study,47,13,13,-14 dB
Gustavo Santaolalla - The Last of Us,Study,47,59,35,-12 dB
Philip Glass - Metamorphosis One,Study,3,30,5,-25 dB
Arvo Part - Spiegel im Spiegel,Study,6,12,7,-28 dB
Samuel Barber - Adagio for Strings,Study,7,10,3,-24 dB
Holst - Jupiter,Study,13,30,16,-21 dB
